NAME,POP,state,county
"Phillips County, Colorado",4265,08,095
"Archuleta County, Colorado",14029,08,007
"Denver County, Colorado",727211,08,031
"Kiowa County, Colorado",1406,08,061
"Huerfano County, Colorado",6897,08,055
"Baca County, Colorado",3581,08,009
"Gilpin County, Colorado",6243,08,047
"Kit Carson County, Colorado",7097,08,063
"Gunnison County, Colorado",17462,08,051
"Mineral County, Colorado",769,08,079
"Ouray County, Colorado",4952,08,091
"Sedgwick County, Colorado",2248,08,115
"Weld County, Colorado",324492,08,123
"Custer County, Colorado",5068,08,027
"Costilla County, Colorado",3887,08,023
"Douglas County, Colorado",351154,08,035
"Lake County, Colorado",8127,08,065
"La Plata County, Colorado",56221,08,067
"Pitkin County, Colorado",17767,08,097
"Rio Grande County, Colorado",11267,08,105
"Bent County, Colorado",5577,08,011
"Crowley County, Colorado",6061,08,025
"San Juan County, Colorado",728,08,111
"Larimer County, Colorado",356899,08,069
"Logan County, Colorado",22409,08,075
"San Miguel County, Colorado",8179,08,113
"Teller County, Colorado",25388,08,119
"Elbert County, Colorado",26729,08,039
"Las Animas County, Colorado",14506,08,071
"Lincoln County, Colorado",5701,08,073
"Summit County, Colorado",31011,08,117
"Alamosa County, Colorado",16233,08,003
"Delta County, Colorado",31162,08,029
"Fremont County, Colorado",47839,08,043
"Montrose County, Colorado",42758,08,085
"Morgan County, Colorado",29068,08,087
"Saguache County, Colorado",6824,08,109
"Prowers County, Colorado",12172,08,099
"Broomfield County, Colorado",70465,08,014
"Washington County, Colorado",4908,08,121
"Grand County, Colorado",15734,08,049
"Otero County, Colorado",18278,08,089
"Hinsdale County, Colorado",820,08,053
"Dolores County, Colorado",2055,08,033
"Jackson County, Colorado",1392,08,057
"Montezuma County, Colorado",26183,08,083
"Boulder County, Colorado",326196,08,013
"Yuma County, Colorado",10019,08,125
"Routt County, Colorado",25638,08,107
"Clear Creek County, Colorado",9700,08,019
"Pueblo County, Colorado",168424,08,101
"Park County, Colorado",18845,08,093
"Mesa County, Colorado",154210,08,077
"El Paso County, Colorado",720403,08,041
"Arapahoe County, Colorado",656590,08,005
"Chaffee County, Colorado",20356,08,015
"Garfield County, Colorado",60061,08,045
"Jefferson County, Colorado",582881,08,059
"Rio Blanco County, Colorado",6324,08,103
"Conejos County, Colorado",8205,08,021
"Adams County, Colorado",517421,08,001
"Eagle County, Colorado",55127,08,037
"Moffat County, Colorado",13283,08,081
"Cheyenne County, Colorado",1831,08,017
